,記事名,url,号数,年月日,ページ数,記事サイズ,執筆者
1,成績評価法　変更　到達度確認方式導入　今年度から,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,1,大,川畑悠成　知識情報・図書館学類
2,AI活用時の注意点公表「情報の正確性確認を」,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,1,大,山本貴世　国際総合学類
3,野球・ソフト室内練習場　整備　9月オープン　最先端の動作解析提供,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,1,中,山本貴世　国際総合学類
4,筑波おろし,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,1,筑波おろし,なし
5,マレーシア校　第２回オープンデー,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,2,小,松尾有姫　比較文化学類
6,北原教授　国土交通大臣賞受賞　離島のドローン輸送サービスに貢献,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,2,中,川畑悠成　知識情報・図書館学類
7,学内宗教勧誘に注意を　学生生活課「断る勇気持って」,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,2,小,川畑悠成　知識情報・図書館学類
8,新任人事,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,2,新人人事,なし
9,筑波大学新聞での組織の略称,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,3,略称,なし
10,筑波大学新聞　今を伝え、歴史を刻む,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,広告,なし
11,現役生と卒業生声合わせ　混声合唱団　50周年記念公演,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,中,山本貴世　国際総合学類
12,管弦楽団が48期卒業記念公演　難曲演奏で「恩返し」,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,中,大竹翔　人文学類
13,相次ぐ被災に負けず　桐本さん（芸専卒）東京で輪島塗展,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,中,大竹翔　人文学類
14,ぶらり短歌　筑波大,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,短歌,東風えまり　人文学類
15,私の一冊　『ランニング』　明石和衛・金栗四三著,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,4,私の一本,大林太郎 助教（体育・スポーツ史）
16,記者の声　多様な居場所の提供が重要　サービスの継続が安心生む,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,5,記者の声,衣笠有紀　卒業生
17,筑波時計　日常に直結した謎解く地学　恐竜を入口に面白さ認識を,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,5,筑波時計,上松佐知子 准教授（層位・古生物学）
18,反射鏡　テレビの存在意義は,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,5,反射鏡,"大竹翔　人文学類, 壬生奏太　地球学類"
19,反射鏡　ホームシックの乗り越え方,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,5,反射鏡,"松尾有姫　比較文化学類, 青野心平　物理学類"
20,筑波大の「食」徹底解剖,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,"6,7",特大,"横山心咲　比較文化学類, 山本貴世　国際総合学類, 青野心平, 物理学類, 川畑悠成　知識情報・図書館学類"
21,あくる探訪　「新入生のための新歓」,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,7,あくる探訪,川畑悠成　知識情報・図書館学類
22,つくばマップ,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,8,特大,なし
23,筑波大生にお薦めの一冊は　11学群長に聞く,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,"9,10",特大,先生方
24,先端研究　導入進む再エネシステム　災害時の強靭生評価法開発,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,11,大,山本貴世　国際総合学類
